	cluster
GTEX-S4Z8-0326-SM-3K2AU	3
GTEX-U3ZM-0426-SM-3DB73	0
GTEX-RU1J-1726-SM-2TF5S	2
GTEX-13FTZ-0005-SM-5NQ9N	1
GTEX-12BJ1-0426-SM-5FQSO	3
GTEX-S7SE-0005-SM-2XCEA	1
GTEX-ZGAY-1026-SM-4WWBR	3
GTEX-13YAN-0926-SM-5O9C3	3
GTEX-ZYT6-1626-SM-5E45R	2
GTEX-14DAR-0226-SM-5S2PR	0
GTEX-U8T8-1426-SM-3DB9H	2
GTEX-13VXU-0006-SM-5N9FF	1
GTEX-TKQ2-0006-SM-33HBH	1
GTEX-12WSL-0626-SM-5GCOY	3
GTEX-S4Q7-0006-SM-3K2AT	1
GTEX-11NUK-0226-SM-5A5L4	2
GTEX-XQ3S-0426-SM-4BOOA	2
GTEX-YECK-0926-SM-4W214	0
GTEX-13X6K-0326-SM-5Q5D6	2
GTEX-PW2O-1726-SM-2S1OO	2
GTEX-XBEW-0226-SM-4AT6A	0
GTEX-11DXW-0726-SM-5H12J	2
GTEX-ZYFD-0826-SM-5NQ9A	3
GTEX-OXRL-1626-SM-2YUMU	2
GTEX-13PL7-0626-SM-5IJCD	2
GTEX-ZQG8-0926-SM-57WFF	3
GTEX-SNOS-1526-SM-32PLW	2
GTEX-13OW6-0005-SM-5NQ9Z	1
GTEX-13O3P-1026-SM-5N9E7	0
GTEX-117YW-0526-SM-5H11C	0
GTEX-V955-2426-SM-3GAEF	2
GTEX-RU72-0006-SM-2TF65	1
GTEX-11EMC-0126-SM-5EGKV	0
GTEX-ZTPG-0926-SM-5O99H	0
GTEX-13CF3-1826-SM-5J1NK	2
GTEX-132Q8-0626-SM-5L3F3	2
GTEX-145MO-1326-SM-5Q5EF	0
GTEX-12WSJ-0005-SM-5LU8S	1
GTEX-1192X-0426-SM-5GIEE	2
GTEX-11DXZ-0006-SM-5LZZH	1
GTEX-13OVG-0226-SM-5LU93	3
GTEX-13OW8-0126-SM-5IJE5	3
GTEX-RNOR-0005-SM-2TF4Z	1
GTEX-P78B-1626-SM-5SI85	2
GTEX-145MO-0726-SM-5NQB9	2
GTEX-11NSD-0005-SM-5LZZ5	1
GTEX-T8EM-1326-SM-3DB7G	2
GTEX-PLZ5-0726-SM-2I5F9	0
GTEX-1477Z-0626-SM-5NQB7	0
GTEX-12WSC-0005-SM-5MR3H	1
GTEX-T6MO-0226-SM-32QOL	3
GTEX-11P81-2426-SM-5GU65	4
GTEX-ZXG5-0926-SM-5NQ8H	3
GTEX-12WSF-0005-SM-5NQAQ	1
GTEX-XOTO-0526-SM-4B662	2
GTEX-11UD1-0226-SM-5EQKL	4
GTEX-XPVG-1026-SM-4B64Y	0
GTEX-TSE9-0226-SM-3DB84	4
GTEX-S33H-2226-SM-5S2UF	2
GTEX-XAJ8-0926-SM-47JXZ	4
GTEX-ZTX8-1626-SM-51MRY	2
GTEX-WOFL-0626-SM-3MJG3	2
GTEX-14E7W-0006-SM-5N9GG	1
GTEX-145MN-2426-SM-5NQA5	2
GTEX-ZTPG-0226-SM-5O99I	4
GTEX-11OF3-1126-SM-5986C	0
GTEX-QVUS-0006-SM-3GAE8	1
GTEX-14BMV-0005-SM-5NQ6Y	1
GTEX-SN8G-0326-SM-32PLG	2
GTEX-QEG5-1126-SM-33HC2	0
GTEX-13PVQ-0226-SM-5SIBG	4
GTEX-11DZ1-0426-SM-5H11A	0
GTEX-S4UY-0006-SM-3K2A7	1
GTEX-139D8-0726-SM-5P9GJ	2
GTEX-ZV6S-0226-SM-59HJT	3
GTEX-QMR6-1926-SM-32PL9	0
GTEX-UPK5-0006-SM-3GAD8	1
GTEX-14E6C-0005-SM-5O98N	1
GTEX-1399T-2726-SM-5K7XK	4
GTEX-XK95-0426-SM-4AT4R	4
GTEX-WHPG-0006-SM-3NMBV	1
GTEX-YB5K-2326-SM-5IFHD	2
GTEX-QLQ7-1526-SM-2S1QA	4
GTEX-T5JW-0005-SM-3GADE	1
GTEX-WWYW-0826-SM-3NB2X	3
GTEX-PLZ4-0006-SM-5SI8L	1
GTEX-SIU7-0526-SM-3NM8I	0
GTEX-XOTO-0006-SM-4B64T	1
GTEX-13O3P-0226-SM-5KM3Z	4
GTEX-ZXES-0005-SM-57WCB	1
GTEX-11GS4-2526-SM-5A5KT	2
GTEX-11UD1-0326-SM-5EQKX	2
GTEX-N7MS-0007-SM-2D7W1	1
GTEX-OHPN-2726-SM-2I5H4	2
GTEX-11EM3-2326-SM-5H12B	4
GTEX-13QBU-0626-SM-5J2OG	3
GTEX-UJMC-1826-SM-3GADT	2
GTEX-VJYA-0426-SM-3GIJK	3
GTEX-TSE9-0726-SM-3DB8C	0
GTEX-WOFL-0726-SM-3MJG4	3
GTEX-11NSD-0326-SM-5A5LS	0
GTEX-14E6C-2626-SM-5RQJP	3
GTEX-145LU-0426-SM-5O9AH	3
GTEX-131XF-2326-SM-5BC6B	2
GTEX-13SLW-0326-SM-5RQK5	2
GTEX-Q2AG-1026-SM-33HBW	0
GTEX-13QJ3-0426-SM-5RQHP	4
GTEX-P44H-0426-SM-2XCEZ	2
GTEX-ZZPU-2626-SM-5E45Y	2
GTEX-Q2AI-0526-SM-2I3EJ	0
GTEX-ZVT2-2226-SM-5NQ6P	4
GTEX-13U4I-0226-SM-5SIB1	4
GTEX-13QJC-0526-SM-5RQKB	0
GTEX-ZVT2-0005-SM-57WBW	1
GTEX-13CF2-2726-SM-5LZWW	2
GTEX-1399Q-0005-SM-5NQAG	1
GTEX-131XF-0006-SM-5P9HK	1
GTEX-RWS6-2126-SM-2XCAV	2
GTEX-145LT-1826-SM-5QGP4	4
GTEX-145MI-0326-SM-5Q5EV	2
GTEX-12BJ1-1026-SM-5EGJA	0
GTEX-12WSL-0005-SM-5NQAD	1
GTEX-13O3O-0526-SM-5J1NL	2
GTEX-13NZB-2426-SM-5K7UF	4
GTEX-11P81-0126-SM-5HL5Y	3
GTEX-11ONC-0005-SM-5O9CY	1
GTEX-OXRO-0326-SM-33HBM	0
GTEX-ZA64-0326-SM-5HL8T	0
GTEX-Y3I4-2226-SM-4TT7O	4
GTEX-WYVS-2326-SM-3NMAI	2
GTEX-X4XX-1026-SM-4QARO	0
GTEX-XUW1-0526-SM-4BOP3	4
GTEX-XMD3-0006-SM-4AT5X	1
GTEX-13NZ8-0926-SM-5MR3U	4
GTEX-12WSM-0226-SM-5LZV6	4
GTEX-YEC3-2126-SM-4YCDB	2
GTEX-13O1R-0526-SM-5K7XU	2
GTEX-131YS-0926-SM-5IJB9	0
GTEX-139D8-0326-SM-5IJCJ	4
GTEX-X4EO-0526-SM-3P5Z3	2
GTEX-ZVZQ-0006-SM-51MR8	1
GTEX-11ZUS-0126-SM-5EQM5	0
GTEX-Z93S-0005-SM-4RGLW	1
GTEX-11WQK-0726-SM-5GU71	2
GTEX-ZT9X-1826-SM-57WDU	2
GTEX-111YS-0726-SM-5GZY8	3
GTEX-ZE9C-2326-SM-5J1NT	2
GTEX-13N1W-0826-SM-5MR5J	3
GTEX-X4EO-0006-SM-3P5ZF	1
GTEX-SNOS-0426-SM-32PMH	0
GTEX-S3XE-0006-SM-3K2AA	1
GTEX-ZYFC-0326-SM-5NQ7H	4
GTEX-ZTTD-1126-SM-51MRP	0
GTEX-REY6-0826-SM-2TF4S	2
GTEX-111CU-1826-SM-5GZYN	4
GTEX-S32W-0326-SM-2XCBI	0
GTEX-Y8E5-0226-SM-57WCM	4
