	cluster
GTEX-131XF-1826-SM-5EGKG	3
GTEX-144GL-1226-SM-5O9A4	3
GTEX-147GR-0005-SM-5NQAO	1
GTEX-OXRN-0005-SM-2I5EU	1
GTEX-XUJ4-0005-SM-4BOQ6	1
GTEX-PWN1-0006-SM-5SI7T	1
GTEX-R55F-1426-SM-2TF53	4
GTEX-XXEK-0626-SM-4BRWE	0
GTEX-139UW-2626-SM-5K7W1	2
GTEX-ZYFG-2426-SM-5GIE8	2
GTEX-WFG8-2426-SM-3GILL	2
GTEX-N7MT-0007-SM-3GACQ	1
GTEX-13O21-1526-SM-5K7W4	4
GTEX-PSDG-1126-SM-2S1ON	0
GTEX-S341-0006-SM-3NM8D	1
GTEX-WOFM-1326-SM-3MJFR	2
GTEX-P4QT-2626-SM-2I3FM	3
GTEX-VJWN-0426-SM-3GIJI	2
GTEX-12ZZX-0226-SM-5DUXU	4
GTEX-13111-2226-SM-5LZUE	2
GTEX-13U4I-0526-SM-5LU59	3
GTEX-ZXG5-0826-SM-5GID6	0
GTEX-ZT9W-0726-SM-4YCDC	0
GTEX-14E7W-1326-SM-5RQIV	0
GTEX-139TT-0426-SM-5IJFA	2
GTEX-ZZPT-1326-SM-5E43H	0
GTEX-OXRK-0006-SM-2HML1	1
GTEX-11DYG-0006-SM-5NQB2	1
GTEX-N7MS-0926-SM-2HMIZ	0
GTEX-S4Z8-1726-SM-3K2AX	4
GTEX-PWOO-0926-SM-2I3EC	3
GTEX-13OW7-0826-SM-5L3EL	3
GTEX-ZDTS-0926-SM-4WAXG	3
GTEX-12WSB-0226-SM-5GCOR	4
GTEX-PVOW-0006-SM-3NMB8	1
GTEX-Q2AI-0326-SM-2I3EK	3
GTEX-OHPM-1626-SM-2HMK4	2
GTEX-14BIN-0005-SM-5N9FE	1
GTEX-P4QS-0526-SM-2I3ET	0
GTEX-11TTK-0005-SM-5O9BX	1
GTEX-PWO3-0005-SM-2I5FS	1
GTEX-1497J-2626-SM-5SI9K	2
GTEX-S7SE-0226-SM-2XCD4	4
GTEX-Y3I4-0226-SM-4TT27	3
GTEX-13OVI-0001-SM-5O9BL	1
GTEX-OOBJ-0526-SM-48TDK	0
GTEX-13FTW-0005-SM-5LZVZ	1
GTEX-Y3IK-2626-SM-4WWDK	2
GTEX-11ZTS-0526-SM-5CVL9	2
GTEX-ZVT4-0326-SM-51MS5	2
GTEX-ZZPU-1326-SM-5GZWS	3
GTEX-11DXY-2726-SM-5GID2	2
GTEX-ZVT3-0726-SM-5GICN	3
GTEX-S7SF-2026-SM-3K2AS	2
GTEX-ZTTD-0006-SM-51MSJ	1
GTEX-13FLV-0426-SM-5KLZA	0
GTEX-V1D1-2426-SM-3GAER	2
GTEX-148VJ-0826-SM-5LU8V	0
GTEX-11TUW-0006-SM-5LZW2	1
GTEX-ZLFU-0626-SM-4WWBO	3
GTEX-131XE-2426-SM-5EQ5V	4
GTEX-ZTSS-0005-SM-4YCDR	1
GTEX-XMD2-0526-SM-4YCDI	2
GTEX-144GO-0226-SM-5LUB1	0
GTEX-13PVQ-0726-SM-5L3GI	3
GTEX-TKQ1-1426-SM-4GICK	2
GTEX-12WSG-0005-SM-5NQA2	1
GTEX-N7MS-0426-SM-2YUN6	2
GTEX-WFJO-1926-SM-3GILA	4
GTEX-147JS-0006-SM-5NQ7K	1
GTEX-11WQC-0626-SM-5EQMF	0
GTEX-13FTY-0226-SM-5IJBW	2
GTEX-13VXU-0326-SM-5LU36	2
GTEX-11P7K-0326-SM-59871	0
GTEX-14A6H-0006-SM-5NQ7W	1
GTEX-1497J-0005-SM-5NQBD	1
GTEX-Y8E5-0326-SM-57WBM	2
GTEX-1399T-0126-SM-5KM15	3
GTEX-ZV7C-0126-SM-57WDE	3
GTEX-O5YT-0526-SM-32PK8	0
GTEX-12WSD-0826-SM-5GCNE	0
GTEX-QCQG-2126-SM-2S1P8	2
GTEX-11DXX-2326-SM-5Q5A2	4
GTEX-11NV4-0326-SM-5HL58	2
GTEX-11PRG-0626-SM-5BC56	4
GTEX-ZVZP-1026-SM-5GICI	3
GTEX-WFJO-0226-SM-3GIKW	3
GTEX-1212Z-2426-SM-5EQ5D	4
GTEX-Y8LW-0005-SM-4V6EV	1
GTEX-POYW-0826-SM-2XCEM	3
GTEX-OXRL-0526-SM-2I3EZ	0
GTEX-13SLW-0226-SM-5S2NA	4
GTEX-111FC-1126-SM-5GZWU	0
GTEX-ZPCL-0006-SM-4WWAS	1
GTEX-OHPK-0006-SM-2HMKH	1
GTEX-QEG5-0426-SM-2I5GJ	2
GTEX-WVLH-0226-SM-3MJG6	4
GTEX-XXEK-1326-SM-4BRV1	3
GTEX-S32W-2326-SM-2XCAW	2
GTEX-T5JW-1826-SM-3GAE1	2
GTEX-R53T-0526-SM-3GADL	3
GTEX-OIZI-0226-SM-2XCEE	4
GTEX-OIZG-0005-SM-2HMJC	1
GTEX-111VG-2326-SM-5N9BK	4
GTEX-13CF3-0006-SM-5N9ED	1
GTEX-12WSB-0726-SM-5N9GD	3
GTEX-Q734-0526-SM-2I3EH	3
GTEX-ZVT4-0226-SM-51MSD	4
GTEX-NFK9-1026-SM-2HMK1	0
GTEX-12696-0005-SM-5LZYS	1
GTEX-139TU-0006-SM-5LZVN	1
GTEX-11TTK-0826-SM-5N9EG	3
GTEX-ZVE2-0626-SM-5GU7I	2
GTEX-1128S-2126-SM-5H12U	4
GTEX-OIZG-0226-SM-2TC5L	3
GTEX-PWCY-2326-SM-2I3EQ	3
GTEX-13VXT-0326-SM-5LU4U	2
GTEX-Q734-1826-SM-2I3EL	4
GTEX-UTHO-0726-SM-3GAEN	2
GTEX-O5YV-0526-SM-2I5GE	0
GTEX-13FH7-1726-SM-5IJE7	0
GTEX-Y111-1926-SM-4SOIS	3
GTEX-V1D1-0826-SM-3P5ZA	0
GTEX-SN8G-1526-SM-4DM79	3
GTEX-YEC4-2226-SM-5IFJT	2
GTEX-YF7O-0005-SM-4W1ZU	1
GTEX-13S86-1126-SM-5RQJX	3
GTEX-117XS-0526-SM-5987Q	3
GTEX-1399S-0006-SM-5NQ7U	1
GTEX-XXEK-0005-SM-4BRWJ	1
GTEX-R3RS-0526-SM-3GADG	2
GTEX-11GS4-0006-SM-5SI9M	1
GTEX-ZC5H-0126-SM-4WAYL	4
GTEX-13X6K-0226-SM-5QGPB	4
GTEX-11EMC-0226-SM-5EGLP	3
GTEX-W5WG-1426-SM-4KKZP	3
GTEX-SNOS-0226-SM-32PLR	3
GTEX-RTLS-0626-SM-5SI7Z	3
GTEX-11ZVC-2626-SM-5FQTA	4
GTEX-11OC5-0326-SM-5PNW5	2
GTEX-S4UY-0226-SM-3K2AP	4
GTEX-1399T-2426-SM-5L3FJ	2
GTEX-ZLWG-2226-SM-5DUWO	4
GTEX-1477Z-0005-SM-5PNWD	1
