6.873146215790176643e-03*	3.734215997141257732e-04	2.670357420829713464e-04
4.294038459594520241e-01	3.018010172514217215e-01	2.551958231836668617e-02*
5.445220940478918692e-01	4.815458836657516423e-02*	7.432183158932144096e-01
6.831960576859836820e-01	4.551043317541966227e-01	9.952048985908222567e-02
8.543099653661896387e-01	5.057725419495258112e-01	6.316016821645025203e-01
4.953016455963832332e-01	1.795264572980771189e-01	2.985734751627940331e-01
4.272043980364879229e-02*	1.991418775992911394e-01	1.705579201252717392e-01
4.663928111378054043e-04*	4.203860984399403894e-02	1.523606405869433922e-04
8.159305138924405343e-01	8.564143643729928979e-01	4.297227741883656860e-01
3.464510010439827425e-01	9.765008876266102478e-01	9.843629705593808232e-01
